,ID,GC
700,Manis_tricuspis,36.9
701,Hippocamelus_antisensis,36.2
702,Epomophorus_gambianus,41.6
703,Procolobus_verus,39.7
704,Propithecus_coquereli,40.1
705,Crocidura_orientalis,35.7
706,Myotis_bombinus,35.2
707,Mazama_nemorivaga,35.7
708,Lasiopodomys_mandarinus,40.5
709,Rusa_unicolor_swinhoei,37.5
710,Ursus_thibetanus_formosanus,41.3
711,Camelus_ferus,42.0
712,Ailurus_fulgens_styani,37.5
713,Ursus_thibetanus_thibetanus,41.2
714,Canis_lupus_lupus,39.6
715,Myodes_glareolus,39.9
716,Tarsius_dentatus,38.8
717,Chlamyphorus_truncatus,44.1
718,Neovison_vison,38.6
719,Bandicota_indica,37.9
720,Crocidura_grayi,35.8
721,Chlorocebus_cynosuros,42.6
722,Ovis_orientalis,38.9
723,Rhinolophus_formosae,41.1
724,Rattus_lutreolus,39.1
725,Rattus_niobe,38.8
726,Eremitalpa_granti,36.0
727,Galeopterus_variegatus,43.2
728,Vulpes_lagopus,40.9
729,Cervus_nippon_kopschi,38.0
730,Myotis_petax,35.4
731,Myodes_rufocanus,40.1
732,Microtus_levis,39.8
733,Propithecus_edwardsi,40.2
734,Arctodus_simus,39.2
735,Canis_lupus_laniger,39.7
736,Vulpes_ferrilata,41.0
737,Naemorhedus_griseus,39.3
738,Proedromys_liangshanensis,41.0
739,Eothenomys_chinensis,40.1
740,Tarsius_lariang,38.6
741,Bradypus_pygmaeus,44.1
742,Hyemoschus_aquaticus,40.9
743,Orcaella_heinsohni,38.8
744,Crocidura_negrina,35.4
745,Crocidura_panayensis,35.4
746,Crocidura_palawanensis,35.7
747,Pusa_caspica,41.8
748,Leopardus_jacobita,40.1
749,Apodemus_chejuensis,36.2
750,Lepilemur_hubbardorum,40.6
751,Neodon_irene,40.9
752,Eulemur_rufus,38.8
753,Callithrix_kuhlii,40.5
754,Cercopithecus_albogularis,42.4
755,Trachypithecus_hatinhensis,38.7
756,Fukomys_damarensis,41.2
757,Philantomba_maxwellii,38.9
758,Philantomba_monticola,38.9
759,Saimiri_oerstedii_citrinellus,40.6
760,Neotetracus_sinensis,35.1
761,Euchoreutes_naso,40.7
762,Tarsius_wallacei,38.6
763,Calyptophractus_retusus,44.6
764,Hypsugo_alaschanicus,35.0
765,Nannospalax_galili,38.4
766,Mammuthus_columbi,38.4
767,Dorcatragus_megalotis,36.9
768,Madoqua_saltiana,38.9
769,Stylodipus_telum,41.1
770,Trachypithecus_shortridgei,39.0
771,Tamiops_maritimus,38.8
772,Capricornis_milneedwardsii,39.7
773,Rhinolophus_ferrumequinum_korai,42.8
774,Tursiops_australis,39.0
775,Mazama_rufina,35.7
776,Naemorhedus_baileyi,39.3
777,Neotragus_batesi,36.6
778,Przewalskium_albirostris,37.6
779,Pudu_mephistophiles,35.6
780,Rucervus_eldii,38.2
781,Rusa_alfredi,37.7
782,Rusa_timorensis,37.6
783,Tragulus_kanchil,41.2
784,Gazella_erlangeri,38.4
785,Blarinella_quadraticauda,34.9
786,Sicista_concolor,41.7
787,Rhinopithecus_strykeri,38.4
788,Rhinolophus_ferrumequinum_quelpartis,42.8
789,Equus_ovodovi,41.5
790,Moschus_anhuiensis,37.9
791,Scapanulus_oweni,37.3
792,Prolemur_simus,37.2
793,Wiedomys_cerradensis,36.6
794,Crocidura_ninoyi,35.6
795,Homo_heidelbergensis,43.4
796,Palaeopropithecus_ingens,39.7
797,Cricetulus_kamensis,40.0
798,Puma_yagouaroundi,39.4
799,Callosciurus_adamsi,38.1
800,Dasypus_septemcinctus,39.3
801,Canis_anthus,39.8
802,Cabassous_chacoensis,42.9
803,Cabassous_tatouay,43.3
804,Cabassous_centralis,42.8
